folder,date,calibration_date,liquid,solid,rate
05192025_LtoS_pressure_15m0,2025-05-19,2025-05-17,1.0820032325283409,8.860262383529816,0.181980100733516
05192025_LtoS_pressure_15m1,2025-05-19,2025-05-17,0.951489092313539,8.96884596371689,0.1948422514659852
05192025_LtoS_pressure_15m2,2025-05-19,2025-05-17,1.2175420426044528,9.513838452256339,0.1853859985249356
05192025_LtoS_pressure_15m3,2025-05-19,2025-05-17,1.510093800934259,8.439287705009269,0.1748727339048708
05192025_LtoS_pressure_15m4,2025-05-19,2025-05-17,1.6633742576548531,8.549082570601476,0.1816745250608068
06082025_LtoS_ratescan_81m0,2025-06-08,2025-05-17,3.4396651052106098,14.007036584994177,0.0782115971840444
06082025_LtoS_ratescan_81m1,2025-06-08,2025-05-17,3.2924641925737976,0.07724534590566201,0.0675209223157066
06082025_LtoS_ratescan_81m2,2025-06-08,2025-05-17,3.1481610726329636,0.0970369815384417,0.065588488077135
06082025_LtoS_ratescan_81m3,2025-06-08,2025-05-17,3.0067369334861853,13.853535674113036,0.059585024986924
06082025_LtoS_ratescan_81m4,2025-06-08,2025-05-17,2.6712237146801425,0.07703847483443724,0.0536603224995374
07102025_LtoS_ratescan_1010,2025-07-10,2025-07-10,3.5831407866862923,0.0328575341017767,0.0608573553316339
07102025_LtoS_ratescan_1011,2025-07-10,2025-07-10,3.28604124645624,0.033099971600686035,0.0603236442127938
07102025_LtoS_ratescan_1012,2025-07-10,2025-07-10,3.1423874154081175,0.03322812635946703,0.0597084901832342
07102025_LtoS_ratescan_1013,2025-07-10,2025-07-10,2.346438826855379,0.033352082023312545,0.0579976213491416
07102025_LtoS_ratescan_1014,2025-07-10,2025-07-10,3.215665908195321,0.033570697101590614,0.0576023619139373
07102025_LtoS_ratescan_1210,2025-07-10,2025-07-10,2.9988398652474246,0.0540370421870958,0.0496908970338936
07102025_LtoS_ratescan_1211,2025-07-10,2025-07-10,2.1619088652069194,0.03484773429749927,0.049619201368076
07102025_LtoS_ratescan_1212,2025-07-10,2025-07-10,2.6624636225794993,13.664169555190853,0.0497065912494356
07102025_LtoS_ratescan_1213,2025-07-10,2025-07-10,1.4038989506191386,0.03296761567759162,0.0488125712390255
07102025_LtoS_ratescan_1214,2025-07-10,2025-07-10,2.0457374736354863,0.03302613370954548,0.0476842264433807
07102025_LtoS_ratescan_1410,2025-07-10,2025-07-10,2.535507308930554,0.05322259748142953,0.0426812235333421
07102025_LtoS_ratescan_1411,2025-07-10,2025-07-10,1.9340512366331912,0.03417470081869882,0.0420437318248983
07102025_LtoS_ratescan_1412,2025-07-10,2025-07-10,1.8228882368799488,0.03414131200043882,0.0420907130272948
07102025_LtoS_ratescan_1413,2025-07-10,2025-07-10,1.7149615658563266,0.03419556809724211,0.0416913184834354
07102025_LtoS_ratescan_1414,2025-07-10,2025-07-10,1.768986493095756,0.034565520989098035,0.0405104674545929
07102025_LtoS_ratescan_1610,2025-07-10,2025-07-10,2.532691358234065,0.03346209349336231,0.0373677740843557
07102025_LtoS_ratescan_1611,2025-07-10,2025-07-10,1.8799420386746108,0.03471567687357424,0.0369707469310904
07102025_LtoS_ratescan_1612,2025-07-10,2025-07-10,1.820404151803022,0.033519181902863696,0.0358797387460771
07102025_LtoS_ratescan_1613,2025-07-10,2025-07-10,1.8200153167191324,0.03333537005591872,0.0349712842945208
07102025_LtoS_ratescan_1614,2025-07-10,2025-07-10,1.8762061944338537,0.033661188485385615,0.0358992724892816
07102025_LtoS_ratescan_210,2025-07-10,2025-07-10,2.8738936664991916,1.4855330379076943,0.3155659269737666
07102025_LtoS_ratescan_211,2025-07-10,2025-07-10,3.2240892243798793,0.03414826812290257,0.3143768507145214
07102025_LtoS_ratescan_212,2025-07-10,2025-07-10,3.519315817921314,0.034021656898264176,0.31418158323642
07102025_LtoS_ratescan_213,2025-07-10,2025-07-10,3.7493094870268635,2.7104970734635434,0.3139129037531228
07102025_LtoS_ratescan_214,2025-07-10,2025-07-10,3.7516354341141063,0.03422339026157896,0.3111640044102018
07102025_LtoS_ratescan_410,2025-07-10,2025-07-10,2.7295427958668914,2.6591479751487666,0.1534817604255135
07102025_LtoS_ratescan_411,2025-07-10,2025-07-10,2.407386034779473,2.607869073682834,0.1535622959540255
07102025_LtoS_ratescan_412,2025-07-10,2025-07-10,2.5350399304971263,2.659788547924077,0.1526362950176237
07102025_LtoS_ratescan_413,2025-07-10,2025-07-10,2.5992179538981426,2.608474312582443,0.1519754763555915
07102025_LtoS_ratescan_414,2025-07-10,2025-07-10,3.7406039614766895,2.361488481549752,0.1519358554195925
07102025_LtoS_ratescan_610,2025-07-10,2025-07-10,3.7324902517084455,3.969718425067104,0.1010413862547359
07102025_LtoS_ratescan_611,2025-07-10,2025-07-10,3.4285284806618312,3.8451974956737005,0.1007652990362507
07102025_LtoS_ratescan_612,2025-07-10,2025-07-10,3.354910734229028,4.2270479606645255,0.1003336105344923
07102025_LtoS_ratescan_613,2025-07-10,2025-07-10,3.3548520756491733,2.3134158571538395,0.1001068772897035
07102025_LtoS_ratescan_614,2025-07-10,2025-07-10,3.502846770450909,3.195706547739141,0.0999146235766366
07102025_LtoS_ratescan_810,2025-07-10,2025-07-10,3.9815162597908884,2.0325533663363715,0.0758252698541569
07102025_LtoS_ratescan_811,2025-07-10,2025-07-10,3.983000520597689,2.2641227596765177,0.0754916914118998
07102025_LtoS_ratescan_812,2025-07-10,2025-07-10,3.6654758013034296,0.033535889909510175,0.0745585277952696
07102025_LtoS_ratescan_813,2025-07-10,2025-07-10,3.901941992934631,2.124133079020608,0.0736690922681685
07102025_LtoS_ratescan_814,2025-07-10,2025-07-10,3.9024353924982123,11.294813465835167,0.0724758806372513
07172025_LtoS_ratescan_611,2025-07-17,2025-07-10,0.09409033778658267,1.3729349690978148,0.1062822076455515
07172025_LtoS_ratescan_612,2025-07-17,2025-07-10,0.09390627620798789,1.0058177323919721,0.1060073921053315
07172025_LtoS_ratescan_613,2025-07-17,2025-07-10,0.09403804997395335,1.151763247193538,0.1057937776019306
07172025_LtoS_ratescan_614,2025-07-17,2025-07-10,0.09390627620798789,1.297307763300671,0.1062877112308245
07172025_LtoS_ratescan_615,2025-07-17,2025-07-10,0.09398576024851713,1.334854787731556,0.1048070358181106
07222025_LtoS_ratescan_1010,2025-07-22,2025-07-10,0.1928453531901253,0.15493369425575676,0.0624659246367624
07222025_LtoS_ratescan_1011,2025-07-22,2025-07-10,0.1927615091420729,0.15481655814749196,0.0615491263511525
07222025_LtoS_ratescan_1012,2025-07-22,2025-07-10,0.19313083953922705,0.15514918013535406,0.0607861669702703
07222025_LtoS_ratescan_1013,2025-07-22,2025-07-10,0.19372655311039894,0.1555799786613293,0.0624070323379452
07222025_LtoS_ratescan_1014,2025-07-22,2025-07-10,0.19366993696439638,0.15552067953456702,0.0604136998175589
07222025_LtoS_ratescan_1210,2025-07-22,2025-07-10,0.19332792800864154,0.15555969261146402,0.0535774410334571
07222025_LtoS_ratescan_1211,2025-07-22,2025-07-10,0.19344345007017116,0.15571572596548866,0.0514516139948317
07222025_LtoS_ratescan_1212,2025-07-22,2025-07-10,0.19400960035952833,0.13877538269578688,0.049865974389474
07222025_LtoS_ratescan_1213,2025-07-22,2025-07-10,0.1939258241888092,0.13900749483317953,0.0519414770955083
07222025_LtoS_ratescan_1214,2025-07-22,2025-07-10,0.19406620311252626,0.13904591747886325,0.0508195134859734
07222025_LtoS_ratescan_1410,2025-07-22,2025-07-10,0.1949172391385595,0.13777391427440494,0.0437190596072564
07222025_LtoS_ratescan_1411,2025-07-22,2025-07-10,0.19505978350681957,0.13798631192412764,0.0436121823215121
07222025_LtoS_ratescan_1412,2025-07-22,2025-07-10,0.19531542276086705,0.1378308670034553,0.0432533139651712
07222025_LtoS_ratescan_1413,2025-07-22,2025-07-10,0.19554161408898127,0.13846784544958296,0.0451612979939525
07222025_LtoS_ratescan_1414,2025-07-22,2025-07-10,0.19565469633330873,0.138217114987843,0.0436546716083509
07222025_LtoS_ratescan_1610,2025-07-22,2025-07-10,0.19494665421756063,0.13825557568878927,0.0391425795275677
