Trial 1 temp(K),Trial 1 thickness(um),Trial 2 temp(K),Trial 2 thickness(um),Trial 3 temp(K),Trial 3 thickness(um),Trial 4 temp(K),Trial 4 thickness(um),Trial 5 temp(K),Trial 5 thickness(um)
30.13697199711985,0.024268784196126974,30.10913676307082,0.02481917346282424,30.11563169741489,0.026036634205919527,30.118146314815107,0.026045770463367188,30.12120610409568,0.02653563757381101
30.1349587811874,0.024359948752243427,30.11144122561693,0.024927963000334206,30.11768528285175,0.026146242705249272,30.120954600562136,0.026172616755171386,30.12305053998473,0.02668259582196812
30.12250557895372,0.024728412965732118,30.1026016148723,0.025294839457539603,30.108215036966875,0.02658393665725347,30.11181833956629,0.026587525334220995,30.11349446978559,0.02708790794911
30.09623566384906,0.025204566248418894,30.078737586136715,0.025781234759634744,30.08509911750536,0.026997250241137305,30.087819999674807,0.027078256691882668,30.08828048574559,0.02757066436022208
30.05715383878213,0.025572629629503782,30.04122886888205,0.026192748910319544,30.04774811086276,0.027395078701179066,30.050088763552825,0.027460504903111367,30.04958717679937,0.02789054387164465
30.00573700720941,0.02591672505600559,29.991512575550683,0.026482913824046675,29.998978355571808,0.027680688105190754,29.99826921969554,0.027826008371929195,29.998310933002006,0.02822421988253892
29.945598876209743,0.02613096603087177,29.931491660518468,0.02673504775265077,29.93918930549944,0.0279077407849304,29.93839862770802,0.0279573293445774,29.937982491538943,0.028429993848299938
29.878504481747186,0.026284319627594255,29.865555251165585,0.026844946983793586,29.87223655026885,0.02804222262857462,29.870036919573167,0.028107873419545484,29.870617935289346,0.02853034313845461
29.80542088969524,0.026418670005259406,29.793626491115354,0.026931387344640737,29.79929538467156,0.028167155969232163,29.796233194915946,0.02820506559199995,29.797226296432743,0.02861742167334735
29.727721835563507,0.026544212824664036,29.717283965400554,0.02702232032759082,29.723348125098656,0.028186964280269008,29.71926393704732,0.028227481921728085,29.719470193183817,0.028725618396897235
29.64779592978427,0.026523708391358942,29.637391481969097,0.02708315071833721,29.642695973153327,0.028282138873541977,29.63714478900391,0.02835307429596569,29.638501630771103,0.028771836216128447
29.565542893560966,0.026568133974845733,29.55443517977145,0.02714850005711678,29.56074670279169,0.028305632584816175,29.554066374145645,0.028356673373639306,29.555787513950225,0.0287797205248456
29.48225384621026,0.026572234543939963,29.46999899335033,0.02719060289107237,29.477024367471987,0.028312971303838388,29.4696722802394,0.02835355425677707,29.47142841377444,0.028856316026707973
29.39716708018977,0.026616005561145732,29.385320585175027,0.027148005800010352,29.391059930212244,0.028388615106760263,29.38393682907693,0.02842002024670467,29.38527988536954,0.028844810998345096
29.311276598963257,0.026614999468238535,29.29902510806909,0.027200105420984014,29.305271796273104,0.028427644122216364,29.296672869649164,0.028453049873205745,29.29801118467612,0.028872741137941547
29.22532035807498,0.026622157584157004,29.21266697740013,0.0271921205284522,29.21885136276611,0.028404088425555845,29.20923187977533,0.028459554032121637,29.211575776711417,0.028838516984066382
29.13853522365864,0.026630946739930945,29.12632920091584,0.027173478622112234,29.131565364417348,0.0284358973258886,29.122825623505094,0.02841779480856232,29.124476672309243,0.028887638483265178
29.050891625574064,0.026667551642615313,29.03925087919247,0.02723385570144246,29.044348041658903,0.02842461132361298,29.036321494760745,0.028427706937823066,29.038247625825985,0.028851423735983043
28.964160915014794,0.026650318823521514,28.951961577239388,0.027240663009439697,28.95664060223373,0.02847913615900322,28.94936250651163,0.02849193403741018,28.95116183363969,0.028914901890428547
28.877139297703906,0.026658046644578732,28.86454513144703,0.02727879546346213,28.868968289233056,0.02847510381646711,28.86191552683501,0.028536835761434093,28.863549035674183,0.028933314371306085
28.78864012069132,0.026719128224548694,28.77799737654466,0.027259388232189097,28.7819282946426,0.02847950184225515,28.77438466965736,0.028556636421556213,28.776369606906503,0.02893579580776816
28.70046229753207,0.026773050731667008,28.690807610122835,0.027301941333407114,28.695317927649548,0.028469950932509043,28.686416792265405,0.028598855302415998,28.688394539569167,0.02902336555101774
28.612604334253486,0.026830771106529497,28.60341824074104,0.027335621131273746,28.60708437416284,0.028550761054545702,28.59884620908281,0.028610752672846206,28.60192041090603,0.029025572751867183
28.52439682730721,0.026834813418088344,28.514930067685462,0.027392295232370554,28.519604060777347,0.028594219028929998,28.51037477906918,0.028660658531776195,28.51324136881235,0.029113705950779053
28.43572817636137,0.02688517289154883,28.426139721251904,0.02746492272463394,28.43197061148774,0.028633844501646705,28.421601215891105,0.028716190909445664,28.424770254282897,0.029161261859545297
28.34621552702777,0.02700273637275196,28.337286507662085,0.027520219502269447,28.34426567551235,0.028652845774221235,28.33377819675257,0.02873821957346129,28.337559397800383,0.02914305557078723
28.257696508130643,0.026975654001950584,28.24883929290235,0.027523402927050276,28.25579270679437,0.028727224272393798,28.24647015595598,0.028737867052732752,28.24961611024485,0.02924963074574009
28.169620269251933,0.026991216160126584,28.161298746011315,0.027545828613462452,28.16706544607359,0.028762095595765775,28.1591317564516,0.02881420867610717,28.161298746011315,0.029276042427479554
28.08202256924648,0.027050491152674352,28.0740786175634,0.0275950268088784,28.07959282647069,0.028764918086047156,28.070608792355053,0.028826774307364692,28.072729180919097,0.029308313766516894
27.993439978287483,0.027108276930230157,27.98640912530134,0.027647183133616967,27.992248812769454,0.028851504676776264,27.98325936502681,0.02885666948148829,27.985717678682764,0.02929917768915456
27.90530201207678,0.027120303463052775,27.89883309311521,0.027678146967538807,27.90445980406622,0.028874791840954466,27.895274028870336,0.02895561141508269,27.898756548531694,0.029329848914163098
