Liquid_10dBm_freqs,Liquid_10dBm_s21,Solid_10dBm_freqs,Solid_10dBm_s21,NoNeon_10dBm_freqs,NoNeon_10dBm_s21,Liquid_minus30_freqs,Liquid_minus30_s21,Solid_minus30_freqs,Solid_minus30_s21,NoNeon_minus30_freqs,NoNeon_minus30_s21
2.21728,-41.39030807738479,2.22078,-37.40367633471288,2.22078,-38.61038206769452,2.21728,-35.82275204843808,2.22078,-37.16930426776783,2.22078,-38.39991316802136
2.2173,-41.362898099307785,2.2208,-37.372881798769264,2.2208,-38.58921552643156,2.2173,-35.60387922383791,2.2208,-37.68455240291046,2.2208,-39.08880975420911
2.21732,-41.348943775970255,2.22082,-37.34601427562825,2.22082,-38.56219301233028,2.21732,-35.22044553033148,2.22082,-36.80604454729311,2.22082,-38.74892760725108
2.21734,-41.3337788110309,2.22084,-37.30828832797403,2.22084,-38.53145408088564,2.21734,-35.099169993688804,2.22084,-37.59659481038253,2.22084,-38.88958335931524
2.21736,-41.31490256748367,2.22086,-37.27471705985011,2.22086,-38.5077661292435,2.21736,-35.30148735577519,2.22086,-37.632942910040605,2.22086,-38.08695852145079
2.21738,-41.29602186604799,2.22088,-37.24657939229341,2.22088,-38.47910026370513,2.21738,-35.2806448575602,2.22088,-37.38346722786336,2.22088,-39.0071078521093
2.2174,-41.27299404902533,2.2209,-37.21397286478847,2.2209,-38.450472243506894,2.2174,-35.43065307379114,2.2209,-37.39547231179361,2.2209,-38.854798443640746
2.21742,-41.25679378490116,2.22092,-37.18160220405628,2.22092,-38.42789086960868,2.21742,-35.161727266894005,2.22092,-36.83649598430868,2.22092,-38.083601197072994
2.21744,-41.2395341397745,2.22094,-37.150437278621936,2.22094,-38.3965439924898,2.21744,-34.91167107846786,2.22094,-37.58183420743852,2.22094,-38.37638043015664
2.21746,-41.22018983190705,2.22096,-37.11329779415361,2.22096,-38.37218804574243,2.21746,-34.76754423265631,2.22096,-37.42466073640999,2.22096,-38.1498019186611
2.21748,-41.204606521623866,2.22098,-37.08500696316825,2.22098,-38.347102343891486,2.21748,-34.79729347766748,2.22098,-37.101893811471605,2.22098,-38.680370843844855
2.2175,-41.17996278921667,2.221,-37.050031369228975,2.221,-38.31463481040333,2.2175,-34.92986390569254,2.221,-37.37109088371507,2.221,-39.32436226733402
2.21752,-41.162587296999845,2.22102,-37.01322635524243,2.22102,-38.28751826895568,2.21752,-34.9262305932178,2.22102,-36.9353926521348,2.22102,-38.99272148278285
2.21754,-41.14664246151064,2.22104,-36.983542764701866,2.22104,-38.25587807980339,2.21754,-34.799803345154274,2.22104,-37.701933360273394,2.22104,-39.04032403993584
2.21756,-41.12286019747083,2.22106,-36.95505851984883,2.22106,-38.23262180764994,2.21756,-34.841671336559614,2.22106,-37.05875876854995,2.22106,-38.62609042119689
2.21758,-41.109482447215,2.22108,-36.91867445169285,2.22108,-38.20616362161846,2.21758,-34.79438052920204,2.22108,-36.68172660229514,2.22108,-38.20251855367636
2.2176,-41.08901147095701,2.2211,-36.88786166649662,2.2211,-38.177858890510464,2.2176,-34.86402430753683,2.2211,-36.54081060292495,2.2211,-39.07205183984598
2.21762,-41.0685345068108,2.22112,-36.84628419460574,2.22112,-38.14767579009109,2.21762,-34.756460954667226,2.22112,-36.792057406123575,2.22112,-37.76904419367676
2.21764,-41.052533416957466,2.22114,-36.81977489985406,2.22114,-38.11781246564011,2.21764,-34.623076880625014,2.22114,-36.80846526358061,2.22114,-38.34625533713177
2.21766,-41.02651551406076,2.22116,-36.77963606478824,2.22116,-38.08928790171626,2.21766,-34.62329976694968,2.22116,-36.43680374406039,2.22116,-38.41998607838045
2.21768,-41.00841796341834,2.22118,-36.75104956127068,2.22118,-38.057224682062895,2.21768,-34.58250594332974,2.22118,-37.37573025817132,2.22118,-38.15597470240523
2.2177,-40.99710685716214,2.2212,-36.7153326113428,2.2212,-38.0284263410841,2.2177,-34.67194300773673,2.2212,-36.885074687513416,2.2212,-38.55943509802852
2.21772,-40.9709832502744,2.22122,-36.67772424995728,2.22122,-38.00084462590048,2.21772,-34.7959210685825,2.22122,-36.700964796862735,2.22122,-38.10630538805973
2.21774,-40.95375418910695,2.22124,-36.64505753747007,2.22124,-37.97172090220872,2.21774,-34.5641816680006,2.22124,-36.5826604815758,2.22124,-37.96258278037901
2.21776,-40.93473340222034,2.22126,-36.60710229537746,2.22126,-37.9422940902009,2.21776,-34.79093054291246,2.22126,-36.78795393032787,2.22126,-38.11871079427274
2.21778,-40.91671065409177,2.22128,-36.57468331471584,2.22128,-37.91770171968657,2.21778,-34.47619153889952,2.22128,-36.74932007419709,2.22128,-37.9870648471696
2.2178,-40.90004327595264,2.2213,-36.5405089187927,2.2213,-37.88536249347694,2.2178,-34.51301354610075,2.2213,-36.392976851249934,2.2213,-38.21734303662203
2.21782,-40.87967239253043,2.22132,-36.50618716968691,2.22132,-37.85834870879066,2.21782,-34.40477334092674,2.22132,-36.3501355940905,2.22132,-37.86442897046814
2.21784,-40.859483493470165,2.22134,-36.4697538376464,2.22134,-37.82246074139066,2.21784,-34.34903496822094,2.22134,-36.25562220016671,2.22134,-37.8533921086448
2.21786,-40.83352429395359,2.22136,-36.432077737268685,2.22136,-37.795821697490005,2.21786,-34.13094216883835,2.22136,-36.07222508942842,2.22136,-37.91968624886634
2.21788,-40.82063778362865,2.22138,-36.39937774258384,2.22138,-37.76457291569216,2.21788,-34.40539879391651,2.22138,-36.37474546696583,2.22138,-37.53000371229167
2.2179,-40.797235827378,2.2214,-36.36380361822708,2.2214,-37.74160074170669,2.2179,-33.85473139177635,2.2214,-36.43029287804293,2.2214,-38.21641419943201
2.21792,-40.78130130653751,2.22142,-36.32840886543418,2.22142,-37.70621533024713,2.21792,-34.20533229367456,2.22142,-36.01780394901375,2.22142,-38.07192579961914
2.21794,-40.76247422690213,2.22144,-36.293344003326446,2.22144,-37.67579510307556,2.21794,-34.12058581638544,2.22144,-36.74934710975583,2.22144,-37.35107311295574
2.21796,-40.73720359244057,2.22146,-36.25509811209373,2.22146,-37.64942603133336,2.21796,-33.93774252919108,2.22146,-36.64264632154348,2.22146,-37.74419447612309
2.21798,-40.72194406718573,2.22148,-36.21875344101906,2.22148,-37.61227366131256,2.21798,-33.99453875567501,2.22148,-36.61870115567389,2.22148,-37.73140670293903
2.218,-40.69768972626079,2.2215,-36.177217159135374,2.2215,-37.585238778998985,2.218,-33.94492756921532,2.2215,-36.57081158838413,2.2215,-37.53237656398098
2.21802,-40.68038046262585,2.22152,-36.14147346154503,2.22152,-37.54916004842259,2.21802,-33.54756234561226,2.22152,-36.427356794399365,2.22152,-37.921275600612645
2.21804,-40.66085957478655,2.22154,-36.103705965959215,2.22154,-37.52322613363357,2.21804,-33.66848804623025,2.22154,-36.12962200409984,2.22154,-37.55840823630849
2.21806,-40.64030811312526,2.22156,-36.06813860771178,2.22156,-37.48936633353355,2.21806,-33.785587503854856,2.22156,-36.135351595572594,2.22156,-37.24692158942865
2.21808,-40.61509158012757,2.22158,-36.03268064156123,2.22158,-37.454244718681984,2.21808,-33.47987046930391,2.22158,-36.04697623450287,2.22158,-37.85914798021475
2.2181,-40.59561182050655,2.2216,-35.990707880844624,2.2216,-37.4331149855507,2.2181,-33.449815395819435,2.2216,-36.003259882684134,2.2216,-37.987953155868205
2.21812,-40.57664122604064,2.22162,-35.95548839233369,2.22162,-37.39568323837324,2.21812,-33.583096369272866,2.22162,-36.10025562915877,2.22162,-37.42430169311848
2.21814,-40.55965356433707,2.22164,-35.91440128270247,2.22164,-37.36624225099949,2.21814,-33.51184778096269,2.22164,-35.98721987551062,2.22164,-37.27595892142912
2.21816,-40.537613070638166,2.22166,-35.874892061920164,2.22166,-37.33149644779814,2.21816,-33.48228129615714,2.22166,-36.12220796478856,2.22166,-37.17949163534259
2.21818,-40.51652895770505,2.22168,-35.838773441982774,2.22168,-37.297906426332126,2.21818,-33.43454892805258,2.22168,-35.77461411857737,2.22168,-37.50389254390265
2.2182,-40.49510367933444,2.2217,-35.79979357323766,2.2217,-37.26658253633923,2.2182,-33.29090901988824,2.2217,-36.327707786397816,2.2217,-37.43887166944185
2.21822,-40.4745928482928,2.22172,-35.76233396998142,2.22172,-37.23537883307769,2.21822,-33.01976655592897,2.22172,-35.784549510547045,2.22172,-36.890099824901846
2.21824,-40.45477939885061,2.22174,-35.72318661729622,2.22174,-37.199950169758026,2.21824,-33.116320107101124,2.22174,-35.82610952735574,2.22174,-37.06078824219743
2.21826,-40.43303205876241,2.22176,-35.68238498814513,2.22176,-37.17116193356659,2.21826,-33.45591794715246,2.22176,-35.20646575809657,2.22176,-38.08430670820073
2.21828,-40.41427414036693,2.22178,-35.64178298734657,2.22178,-37.13970058566057,2.21828,-33.328728263836005,2.22178,-35.63987086532512,2.22178,-36.82078695678359
2.2183,-40.38944493393998,2.2218,-35.60455211694679,2.2218,-37.10645323555663,2.2183,-32.97915449836209,2.2218,-35.54553993962958,2.2218,-37.16648093254949
2.21832,-40.37373321112102,2.22182,-35.56346113933803,2.22182,-37.07358317620611,2.21832,-32.87322487320028,2.22182,-35.328608796723124,2.22182,-37.08118429883508
2.21834,-40.34920622083505,2.22184,-35.522055773974685,2.22184,-37.03996035209046,2.21834,-32.88188881174693,2.22184,-35.50928777117668,2.22184,-37.17320863390471
2.21836,-40.327207479260935,2.22186,-35.48054426841729,2.22186,-37.00758405703749,2.21836,-32.86519501585708,2.22186,-35.78177468010414,2.22186,-37.10484003298944
2.21838,-40.30209063063066,2.22188,-35.441410775971995,2.22188,-36.97564982928788,2.21838,-32.83307387924868,2.22188,-35.81559093352106,2.22188,-37.25858469474838
2.2184,-40.28483762113212,2.2219,-35.40042362217563,2.2219,-36.94080259299537,2.2184,-33.054210730810944,2.2219,-35.40798614019352,2.2219,-37.055367390652656
2.21842,-40.2644060069522,2.22192,-35.357810208689806,2.22192,-36.90199575628005,2.21842,-32.6052716540128,2.22192,-35.63759838560808,2.22192,-36.72215474270851
2.21844,-40.24213421112249,2.22194,-35.31717951801245,2.22194,-36.875250517031056,2.21844,-32.491360819503555,2.22194,-35.4230268747306,2.22194,-36.85622781684432
2.21846,-40.21789293043673,2.22196,-35.27860064027577,2.22196,-36.83919926727117,2.21846,-32.621669042282534,2.22196,-35.522147171144184,2.22196,-36.49606678783524
2.21848,-40.19712803050747,2.22198,-35.23346385320084,2.22198,-36.803971204023206,2.21848,-32.63871330511654,2.22198,-35.506164664613884,2.22198,-37.344118578996216
2.2185,-40.18410888274903,2.222,-35.19161905916084,2.222,-36.77135372798733,2.2185,-32.511204687949274,2.222,-35.173485018949584,2.222,-37.09213702424216
2.21852,-40.16314402249117,2.22202,-35.14900889300946,2.22202,-36.73585548194772,2.21852,-32.40164375977728,2.22202,-35.16615571839665,2.22202,-36.65985805747447
2.21854,-40.13346642146951,2.22204,-35.10524674441724,2.22204,-36.69923562199758,2.21854,-32.6359654445749,2.22204,-35.26761976145297,2.22204,-36.43981574532704
2.21856,-40.112508903315465,2.22206,-35.065370376081376,2.22206,-36.66410081324973,2.21856,-32.07075364894986,2.22206,-34.861643190322226,2.22206,-36.76980264824709
2.21858,-40.09586399401538,2.22208,-35.02180834988214,2.22208,-36.6288322302508,2.21858,-32.398662788394205,2.22208,-34.67769344231334,2.22208,-36.37365394366924
2.2186,-40.07514776015277,2.2221,-34.97754673982688,2.2221,-36.59646058429762,2.2186,-32.23463860847445,2.2221,-35.513566327334246,2.2221,-36.658052046809225
2.21862,-40.04564281066551,2.22212,-34.93574503320071,2.22212,-36.556279899468656,2.21862,-32.39190427285154,2.22212,-34.801280430737734,2.22212,-36.92470251553407
2.21864,-40.02789046708255,2.22214,-34.89030279089955,2.22214,-36.52516933221966,2.21864,-32.335142656016075,2.22214,-35.427292630617295,2.22214,-36.7022476329532
2.21866,-40.00650364346783,2.22216,-34.84736906344418,2.22216,-36.48254586273097,2.21866,-31.88794686120601,2.22216,-35.06363605055606,2.22216,-36.5717298863848
2.21868,-39.98225507487248,2.22218,-34.80101389800041,2.22218,-36.453573487628,2.21868,-32.07702397728396,2.22218,-34.956377503436386,2.22218,-36.426649959353725
2.2187,-39.95734567065902,2.2222,-34.75584516040965,2.2222,-36.41350355576503,2.2187,-31.8955846772648,2.2222,-35.075098388607124,2.2222,-36.48528565619665
2.21872,-39.9350534205534,2.22222,-34.713754772597866,2.22222,-36.37516219019288,2.21872,-31.84917193114641,2.22222,-34.68820405698092,2.22222,-36.329490012474345
2.21874,-39.91842976763295,2.22224,-34.667012181064145,2.22224,-36.345092321344616,2.21874,-31.643999508145228,2.22224,-34.97680694702173,2.22224,-36.59478524902109
2.21876,-39.89123810929696,2.22226,-34.62057437517624,2.22226,-36.309096509751285,2.21876,-31.59059832459304,2.22226,-34.848709246638954,2.22226,-36.36713528776582
2.21878,-39.86592748027289,2.22228,-34.5768411025825,2.22228,-36.268174420321806,2.21878,-31.622801318412257,2.22228,-34.572461265137406,2.22228,-36.21729094188226
2.2188,-39.8525535908887,2.2223,-34.52798942464832,2.2223,-36.23188622651279,2.2188,-31.39161690679348,2.2223,-34.56650842084474,2.2223,-36.37413203645684
2.21882,-39.829484722902656,2.22232,-34.48596912945606,2.22232,-36.1973044114327,2.21882,-31.76325958946005,2.22232,-34.78663087440722,2.22232,-35.88348741050541
2.21884,-39.79947098623634,2.22234,-34.43664511402299,2.22234,-36.15912262255441,2.21884,-31.56224568566457,2.22234,-34.39079465225369,2.22234,-36.142110363533
2.21886,-39.776698552896434,2.22236,-34.39212665683856,2.22236,-36.11553275564018,2.21886,-31.33825255504087,2.22236,-34.40707591207219,2.22236,-36.21217571100828
2.21888,-39.76085346836959,2.22238,-34.344742045243514,2.22238,-36.08204627542568,2.21888,-31.574247840674733,2.22238,-34.406756582996,2.22238,-36.22845080473224
2.2189,-39.73171126612964,2.2224,-34.293464677215745,2.2224,-36.04821263230606,2.2189,-31.215767228107104,2.2224,-34.505576573839704,2.2224,-35.92554153154926
2.21892,-39.707339667230286,2.22242,-34.25008613938185,2.22242,-36.01152755411513,2.21892,-31.144688283812737,2.22242,-33.88767582320518,2.22242,-36.08335741283065
2.21894,-39.68640356673527,2.22244,-34.20254377512797,2.22244,-35.964670248269904,2.21894,-31.202116527928645,2.22244,-33.953477087283915,2.22244,-35.99043321494439
2.21896,-39.667712560264754,2.22246,-34.15222736876239,2.22246,-35.92943524083017,2.21896,-30.925972367707008,2.22246,-33.72198818318808,2.22246,-35.713024126246054
2.21898,-39.64086970602216,2.22248,-34.10580108326047,2.22248,-35.891051180020945,2.21898,-30.820298147543177,2.22248,-34.282671981012726,2.22248,-35.96213528205157
2.219,-39.616191231068505,2.2225,-34.054751026635245,2.2225,-35.85007304551043,2.219,-30.984074755245764,2.2225,-33.85604244066448,2.2225,-35.81432372126869
2.21902,-39.5939300108386,2.22252,-34.00580880566391,2.22252,-35.81062247083587,2.21902,-30.94151175082288,2.22252,-33.70943778794932,2.22252,-35.78983724360749
2.21904,-39.56757974801831,2.22254,-33.95540667546216,2.22254,-35.77525773396664,2.21904,-30.602222759557822,2.22254,-33.83792969581948,2.22254,-35.614002317155126
2.21906,-39.54653418617858,2.22256,-33.904338864471654,2.22256,-35.735356079892114,2.21906,-30.69513427918797,2.22256,-33.81053848462926,2.22256,-35.82313735879636
2.21908,-39.52679305563403,2.22258,-33.858109033625155,2.22258,-35.69246264847199,2.21908,-30.52118070861752,2.22258,-33.59689972102992,2.22258,-35.685547365061254
2.2191,-39.504926810911705,2.2226,-33.80476583042439,2.2226,-35.650658757880144,2.2191,-30.674609822232647,2.2226,-33.93623341725827,2.2226,-35.67666010860932
2.21912,-39.47609359393631,2.22262,-33.75429640055879,2.22262,-35.61223602975644,2.21912,-30.55079423740752,2.22262,-33.96809059442491,2.22262,-35.826513545941616
2.21914,-39.45123859141877,2.22264,-33.703448363844124,2.22264,-35.57627457675152,2.21914,-30.423736467286936,2.22264,-34.17169339677785,2.22264,-35.44481989754733
2.21916,-39.425432985247575,2.22266,-33.64964386264336,2.22266,-35.532552595890145,2.21916,-30.54430913924728,2.22266,-33.8802584314672,2.22266,-35.401067915379656
2.21918,-39.40475350828622,2.22268,-33.597051511624926,2.22268,-35.49117846256276,2.21918,-30.16528236114146,2.22268,-33.62937473003825,2.22268,-36.07797277087256
2.2192,-39.38470292204234,2.2227,-33.54677116450143,2.2227,-35.45307018971507,2.2192,-30.24694575667365,2.2227,-33.65477004382424,2.2227,-35.62714424090836
2.21922,-39.35895904688567,2.22272,-33.49231520268612,2.22272,-35.41251468849316,2.21922,-30.15943131028338,2.22272,-33.29052894846245,2.22272,-35.51764624986544
2.21924,-39.32998418043601,2.22274,-33.43907156169329,2.22274,-35.36627440452034,2.21924,-30.201442581804105,2.22274,-33.613114484430426,2.22274,-35.13165600515782
2.21926,-39.30906239577448,2.22276,-33.38730529247972,2.22276,-35.32725252959437,2.21926,-29.747767174091287,2.22276,-33.24776662978104,2.22276,-35.17356874832284
2.21928,-39.28712888162586,2.22278,-33.332531747390426,2.22278,-35.28775297972557,2.21928,-30.038547475655086,2.22278,-33.232230158670426,2.22278,-34.52705101416676
2.2193,-39.25544079265015,2.2228,-33.27774306961379,2.2228,-35.24259346624654,2.2193,-29.908744942365097,2.2228,-33.39552514193493,2.2228,-35.11819730752572
2.21932,-39.23766412678157,2.22282,-33.22228057041373,2.22282,-35.19885122079692,2.21932,-29.637358908077417,2.22282,-33.1730536017473,2.22282,-34.92294876939114
2.21934,-39.20492885409276,2.22284,-33.17054980296755,2.22284,-35.15555606046242,2.21934,-29.705421878326625,2.22284,-33.189730869816714,2.22284,-34.96670288324002
2.21936,-39.18514232418906,2.22286,-33.11570697593817,2.22286,-35.1142188298664,2.21936,-29.44980568006676,2.22286,-33.03482899366398,2.22286,-35.1320702360122
2.21938,-39.15484463891427,2.22288,-33.05878154248687,2.22288,-35.07138120124638,2.21938,-29.79947026978997,2.22288,-32.91922562748214,2.22288,-34.734369131862
2.2194,-39.12994941088685,2.2229,-33.00277298155146,2.2229,-35.022881131906324,2.2194,-29.472283162250665,2.2229,-33.01475618381916,2.2229,-34.77471833867662
2.21942,-39.10676866787191,2.22292,-32.94707776040637,2.22292,-34.98339775979182,2.21942,-29.284926261485843,2.22292,-33.281889914633304,2.22292,-34.597246030366016
2.21944,-39.08146486791895,2.22294,-32.88881489516495,2.22294,-34.940905748189614,2.21944,-29.17199690142404,2.22294,-32.59577798738435,2.22294,-34.816915427784146
2.21946,-39.05822899423802,2.22296,-32.82949153375024,2.22296,-34.89527276481774,2.21946,-29.25250662170397,2.22296,-32.78155955591285,2.22296,-34.8710776985036
2.21948,-39.03389691930005,2.22298,-32.77231060334258,2.22298,-34.84863617110638,2.21948,-29.078919708177217,2.22298,-32.75609780225274,2.22298,-34.66128849669759
2.2195,-39.00462629912093,2.223,-32.71627789473075,2.223,-34.804862971134945,2.2195,-28.972071741196824,2.223,-32.730929175124665,2.223,-34.617600320715304
2.21952,-38.98376525841859,2.22302,-32.656364524262216,2.22302,-34.75830719736066,2.21952,-28.84993585568401,2.22302,-32.85965086658408,2.22302,-34.807105015551
2.21954,-38.954968611775136,2.22304,-32.59705750229655,2.22304,-34.716661312361026,2.21954,-28.936699949649167,2.22304,-32.68796416666539,2.22304,-34.73437830123863
2.21956,-38.93047342754768,2.22306,-32.536860538898075,2.22306,-34.66929235647238,2.21956,-28.84446356399476,2.22306,-32.68826713710265,2.22306,-34.815711413365456
2.21958,-38.90294930256956,2.22308,-32.47682913522702,2.22308,-34.62249391350415,2.21958,-28.733917535501394,2.22308,-32.618451197319786,2.22308,-34.76096936307242
2.2196,-38.88231771562504,2.2231,-32.418414824051595,2.2231,-34.57458889509989,2.2196,-28.295691592696677,2.2231,-32.60916683706828,2.2231,-34.78446394093104
2.21962,-38.85308554519422,2.22312,-32.35445870185724,2.22312,-34.528965116532355,2.21962,-28.419211704310456,2.22312,-32.520562817746054,2.22312,-34.69387367705923
2.21964,-38.82312791854008,2.22314,-32.294578461741104,2.22314,-34.480815211688224,2.21964,-28.29868485106975,2.22314,-32.22076668899798,2.22314,-34.71938864624866
2.21966,-38.80546525733399,2.22316,-32.22880071515068,2.22316,-34.437980237568226,2.21966,-28.05763122874277,2.22316,-32.387579308411965,2.22316,-34.681592827776406
2.21968,-38.7716690152575,2.22318,-32.16882333871641,2.22318,-34.38879081450885,2.21968,-27.970318752604825,2.22318,-32.19763136657408,2.22318,-34.758042822738865
2.2197,-38.7464994978231,2.2232,-32.10625468333847,2.2232,-34.34048051993261,2.2197,-28.01924252944149,2.2232,-32.0933877504378,2.2232,-34.418313144133265
