,SolidTime(s),SolidFrequency(GHz),SolidTemperature(K),LiquidTime(s),LiquidFrequency(GHz),LiquidTemperature(K),NoNeonTime(s),NoNeonFrequency(GHz),NoNeonTemperature(K)
61,279.52961,2.2217808638605887,23.79071731741295,278.684947,2.221561284993409,24.71310184109176,282.581865,2.221438003982929,24.70350974320957
62,284.075425,2.2217808697510915,23.788748456121603,283.230872,2.221561216009827,24.712238706204584,287.137055,2.221437968836972,24.702282003094226
63,288.621945,2.2217809509942006,23.789542328940016,287.776977,2.2215611534706183,24.71057893032591,292.198115,2.221437947222017,24.703941128287557
64,293.16755,2.2217810065122867,23.788748456121603,292.322823,2.221561344492145,24.711010459521564,296.752686,2.221437935225679,24.70311154942886
65,297.713878,2.2217810734288546,23.79071731741295,296.869201,2.2215612289542395,24.713500222926584,301.307429,2.221437878543179,24.703941128287557
66,302.259723,2.221781035577614,23.79151126680324,301.414915,2.221561126149148,24.711010459521564,305.862497,2.221437882717076,24.70350974320957
67,306.806715,2.2217810691929647,23.792305247080847,305.96092,2.221560963241669,24.712238706204584,310.417713,2.2214378678485427,24.70268018127391
68,311.351679,2.22178109185736,23.789923398872883,310.506921,2.2215607167894915,24.71310184109176,314.972276,2.2214378418946836,24.70350974320957
69,315.897749,2.221781150105121,23.79071731741295,315.052722,2.2215600045768347,24.713500222926584,320.033822,2.2214378166632156,24.70311154942886
70,320.44378,2.2217811473537554,23.790336232648468,319.598602,2.2215603931220094,24.71057893032591,324.588458,2.2214378046618397,24.703941128287557
71,324.989875,2.221781208008884,23.791130167263997,324.144795,2.2215607295289588,24.713500222926584,329.14318,2.22143774221542,24.703941128287557
72,329.535926,2.221781233393062,23.791924132708147,328.690695,2.2215605221191983,24.714330209116472,333.699003,2.221437756778874,24.70516896472114
73,334.081849,2.221781318076665,23.789542328940016,333.239424,2.2215603832827147,24.714761814785383,338.253437,2.221437699065757,24.70560038363421
74,338.628286,2.221781271347383,23.791130167263997,337.782784,2.2215603967108146,24.713500222926584,342.808165,2.221437676639407,24.702282003094226
75,343.173877,2.2217813292466455,23.791924132708147,342.33049,2.2215601474390665,24.715591850473757,347.36343,2.221437664263615,24.703941128287557
76,347.720073,2.221781335442016,23.790336232648468,346.874676,2.221560102667729,24.714761814785383,351.91851,2.2214376355326766,24.70560038363421
77,352.265443,2.2217813525425747,23.79271812906748,351.420547,2.2215597795465274,24.714330209116472,356.473589,2.2214376254152675,24.70350974320957
78,356.812163,2.2217814625129666,23.79271812906748,355.967169,2.221559655135062,24.71393181168196,361.028513,2.2214375533763047,24.70560038363421
79,361.357998,2.2217814360126806,23.79151126680324,360.512959,2.2215598664588305,24.71516022786041,365.583424,2.2214375439122427,24.70560038363421
80,365.904,2.2217814750311073,23.790336232648468,365.0589,2.2215597936274234,24.713500222926584,370.139121,2.221437521248507,24.706430060074947
81,370.449628,2.221781534403627,23.790336232648468,369.604874,2.221559703291819,24.71516022786041,374.693688,2.221437517780157,24.70516896472114
82,374.995703,2.2217815408317274,23.79151126680324,374.150825,2.221559644870329,24.71310184109176,379.248594,2.221437533660605,24.70560038363421
83,379.542229,2.2217816316920334,23.791924132708147,378.696791,2.22155944754439,24.713500222926584,383.804336,2.2214375081182887,24.703941128287557
84,384.087874,2.221781610787045,23.79071731741295,383.242528,2.2215594393765907,24.714330209116472,388.35854,2.2214374226432296,24.70516896472114
85,388.63425,2.221781608841779,23.793512156280723,387.788911,2.2215591597930504,24.71516022786041,392.913676,2.221437415874345,24.706430060074947
86,393.179872,2.2217816397042163,23.793099258283057,392.334587,2.2215591014237344,24.71516022786041,397.46898,2.221437374533905,24.70560038363421
87,397.72565,2.2217816410216966,23.79151126680324,397.388543,2.2215593232014528,24.71599027916701,402.02351,2.22143736328272,24.70433933769386
88,402.271549,2.221781721116032,23.793099258283057,401.931697,2.221558869970777,24.71393181168196,406.578719,2.2214373572338997,24.70560038363421
89,406.817888,2.221781702947215,23.79151126680324,406.47874,2.221559061189458,24.714761814785383,411.133637,2.2214373494710378,24.70682831633003
90,411.363601,2.221781760536591,23.792305247080847,411.024169,2.221559313883718,24.71516022786041,415.688402,2.2214373140971357,24.706430060074947
91,415.909958,2.2217817062536853,23.793099258283057,415.569669,2.221559154058812,24.715591850473757,420.243663,2.2214372917364624,24.70682831633003
92,420.455686,2.221781768057946,23.793099258283057,420.115525,2.2215590991909977,24.713500222926584,424.798586,2.2214373044580937,24.70560038363421
93,425.001879,2.2217818234168862,23.791924132708147,424.661814,2.221559017571104,24.714761814785383,429.354071,2.2214372900832937,24.70682831633003
94,429.548272,2.2217818188298173,23.7943062144161,429.212323,2.2215587626504996,24.71599027916701,433.909182,2.2214371175472887,24.70560038363421
95,434.093901,2.2217818060271743,23.79271812906748,433.753895,2.2215587492609483,24.71599027916701,438.463553,2.2214370412459608,24.703941128287557
96,438.639587,2.221781875742961,23.7943062144161,438.300083,2.2215585270263642,24.713500222926584,443.018736,2.221437044214286,24.705998624255734
97,443.185699,2.221781869288944,23.793099258283057,442.846161,2.2215580107148822,24.71599027916701,447.573561,2.221436988690267,24.706430060074947
98,447.731621,2.2217818745503948,23.7943062144161,447.393282,2.2215586326052885,24.715591850473757,452.128657,2.221437009562874,24.707259769058386
99,452.278128,2.2217819543385797,23.79271812906748,451.938218,2.2215586244166956,24.715591850473757,456.683585,2.2214369382784596,24.70560038363421
100,456.823792,2.2217820174024445,23.793512156280723,456.483955,2.2215585148812322,24.71642191870525,461.238463,2.221436935107494,24.706430060074947
101,461.369857,2.2217819809902273,23.79471913684989,461.029827,2.2215584502290744,24.714761814785383,465.793569,2.221436919684129,24.705998624255734
102,465.915553,2.2217820063356366,23.79510030342472,465.575877,2.221558180930844,24.71393181168196,470.34868,2.2214368439528975,24.70891928464101
103,470.461845,2.2217820651025266,23.793099258283057,470.12249,2.2215582252163624,24.71642191870525,474.903592,2.2214368359964776,24.70682831633003
104,475.007947,2.2217820928664387,23.79271812906748,474.667972,2.221557564492577,24.713500222926584,479.459356,2.2214368117159737,24.707691230582363
105,479.553912,2.221782067813616,23.79471913684989,479.214044,2.221557821141078,24.71393181168196,484.013769,2.2214367999269835,24.7080895105873
106,484.100661,2.2217821492547833,23.793925062636767,483.760231,2.2215582066848762,24.71516022786041,488.568782,2.221436773880717,24.709749091233157
107,488.646072,2.2217821607976536,23.7943062144161,488.305911,2.2215580777124306,24.71599027916701,493.123525,2.221436785154656,24.70682831633003
108,493.191851,2.221782145900736,23.791924132708147,492.852086,2.221557608765698,24.71682036301699,497.678671,2.221436709469853,24.708520989038117
109,497.737926,2.221782243751004,23.793512156280723,497.397927,2.2215578775583604,24.71682036301699,502.233767,2.221436752912991,24.7080895105873
110,502.283766,2.2217822014438,23.79471913684989,501.943936,2.2215571209189906,24.71599027916701,506.788693,2.2214367838262734,24.70891928464101
111,506.830482,2.221782354809883,23.7943062144161,506.489631,2.2215577500282837,24.71599027916701,511.343644,2.2214366761698203,24.70891928464101
112,511.375602,2.2217823196073545,23.79510030342472,511.035614,2.2215565256269123,24.714330209116472,515.898941,2.22143663043523,24.709749091233157
113,515.921833,2.221782317430204,23.793512156280723,515.582265,2.221557142496622,24.71599027916701,520.454489,2.221436617043246,24.71018060349114
114,520.468211,2.221782340664716,23.792305247080847,520.132052,2.221557769270544,24.713500222926584,525.008431,2.221436591572166,24.709350779982323
115,525.013987,2.2217824412973153,23.793512156280723,524.674258,2.2215577135298674,24.714761814785383,529.564019,2.221436623563555,24.70891928464101
116,529.560007,2.221782437953001,23.793512156280723,529.2202,2.2215573056357076,24.714761814785383,534.118679,2.2214366197727644,24.709350779982323
117,534.105907,2.2217824168637588,23.793925062636767,533.76604,2.22155752176739,24.71393181168196,538.673638,2.2214366008179387,24.707691230582363
118,538.651826,2.221782492815219,23.7943062144161,538.31335,2.2215568596393185,24.71642191870525,543.245936,2.2214365809034478,24.71057893032591
119,543.197702,2.2217825732248344,23.793099258283057,542.85802,2.221557414413988,24.71599027916701,548.289791,2.22167692574729,24.71018060349114
120,547.943009,2.2217825661273984,23.793099258283057,547.419956,2.221557317164792,24.714330209116472,552.844538,2.2216769227512554,24.71018060349114
121,552.794608,2.2220060451143744,23.793512156280723,552.454382,2.2213177568992335,24.715591850473757,557.399812,2.221676987505484,24.71018060349114
122,557.341778,2.2220048187883306,23.792305247080847,557.001175,2.221109103708273,24.715591850473757,561.955157,2.2216776766650237,24.709350779982323
123,561.887452,2.2220049724111877,23.79271812906748,561.547797,2.2209719313954666,24.713500222926584,566.510457,2.221677191368702,24.709749091233157
124,566.43271,2.222004567474903,23.79271812906748,566.093163,2.220854385392515,24.714761814785383,571.064956,2.2216773472741687,24.709350779982323
125,570.979143,2.2220040710034294,23.792305247080847,570.638894,2.2207615223457857,24.714330209116472,575.620108,2.221677165388415,24.709350779982323
126,575.524924,2.222004024148092,23.79271812906748,575.184927,2.2206781382314777,24.712670269256183,580.174584,2.2216772187603424,24.71057893032591
127,580.071364,2.222004630196962,23.793925062636767,579.7307,2.220604829593102,24.713500222926584,584.729865,2.2216773295716714,24.708520989038117
128,584.617421,2.2220048309343254,23.793099258283057,584.276763,2.2205391454836407,24.71393181168196,589.284525,2.2216771440385976,24.711010459521564
129,589.162989,2.222004089534187,23.79271812906748,588.82313,2.220478750049731,24.715591850473757,593.839974,2.2216776778446117,24.709749091233157
130,593.708936,2.222004257585451,23.793099258283057,593.37132,2.220424609411269,24.71310184109176,598.395041,2.221677288973525,24.709749091233157
131,598.255392,2.2220040951224087,23.793925062636767,597.914816,2.2203710034411857,24.712238706204584,602.949776,2.221677232244213,24.707259769058386
132,602.801677,2.222004153834126,23.791924132708147,602.462384,2.220324509707695,24.713500222926584,607.504446,2.221677559228602,24.71018060349114
133,607.347787,2.2220040860600103,23.791924132708147,607.007167,2.2202761254835726,24.71310184109176,612.060085,2.2216774987077312,24.711010459521564
134,611.892887,2.2220039020267044,23.793925062636767,611.552954,2.2202378981361317,24.71018060349114,616.614699,2.2216772659600457,24.707259769058386
135,616.438791,2.2220041398783277,23.793925062636767,616.099061,2.2201955286964976,24.712670269256183,621.169575,2.2216775371307276,24.706430060074947
136,620.985481,2.222003850835028,23.791924132708147,620.645309,2.2201575831711926,24.712238706204584,625.725108,2.2216780686778645,24.71018060349114
137,625.530736,2.222003753691171,23.791924132708147,625.19562,2.2201185422987746,24.71184034812756,630.279757,2.2216777002731543,24.708520989038117
138,630.076631,2.222003671640192,23.79471913684989,629.737373,2.220082869182683,24.712238706204584,634.834764,2.221677457574255,24.7080895105873
139,634.622881,2.2220042773127364,23.79271812906748,634.282838,2.2200484294508263,24.71140880202111,639.389747,2.2216780370974822,24.709350779982323
140,639.169206,2.222003538107972,23.793099258283057,638.82937,2.2200198800262663,24.71057893032591,643.945657,2.221677607144843,24.707259769058386
141,643.715458,2.222004085239345,23.79271812906748,643.375104,2.219989367228701,24.71140880202111,648.500716,2.2216777693020835,24.708520989038117
142,648.260929,2.222004187958045,23.793099258283057,647.921424,2.219962497430365,24.712238706204584,653.055339,2.2216777688179175,24.707691230582363
143,652.80753,2.222003956740698,23.79151126680324,652.466732,2.219932729446529,24.71310184109176,657.60967,2.2216774104352526,24.707259769058386
144,657.352722,2.2220037347232036,23.793099258283057,657.013304,2.219907427584111,24.71310184109176,662.16519,2.221677626228394,24.705998624255734
145,661.899159,2.2220038129271447,23.79151126680324,661.558717,2.219878599582289,24.71057893032591,666.720001,2.2216779348025346,24.708520989038117
146,666.445664,2.2220040679787876,23.793099258283057,666.105434,2.219856207400784,24.712670269256183,671.275082,2.221677440246905,24.707259769058386
147,670.991436,2.222003797067217,23.792305247080847,670.651331,2.219830735143448,24.71140880202111,675.82983,2.221677450961931,24.708520989038117
148,675.537473,2.222003753083405,23.79510030342472,675.196947,2.21981075358487,24.71140880202111,680.385327,2.2216772885877334,24.707259769058386
149,680.082907,2.2220040151913385,23.793099258283057,679.743143,2.2197865034484954,24.71184034812756,684.939795,2.221677728612217,24.7080895105873
150,684.629107,2.2220037930850842,23.79071731741295,684.288885,2.2197639424164484,24.71018060349114,689.495383,2.221677477859551,24.707259769058386
151,689.175443,2.2220037152090026,23.791130167263997,688.834909,2.2197409370338947,24.71184034812756,694.049836,2.221677234614054,24.7080895105873
152,693.721841,2.2220037537554598,23.79151126680324,693.380885,2.2197202458407324,24.711010459521564,698.605519,2.2216771274520446,24.706430060074947
153,698.267195,2.2220038416488888,23.793925062636767,697.926946,2.2196988193399223,24.709749091233157,703.159924,2.221677709209156,24.705998624255734
154,702.813113,2.2220036226879234,23.79151126680324,702.472983,2.2196804098501106,24.709350779982323,707.715189,2.2216778487467224,24.706430060074947
155,707.358789,2.222004032297282,23.79271812906748,707.01915,2.2196594302207973,24.71057893032591,712.270343,2.221677277565902,24.708520989038117
156,711.905394,2.2220039945837917,23.789129511213456,711.56498,2.219641344308833,24.711010459521564,716.824752,2.2216774406260433,24.707259769058386
157,716.451781,2.22200429166764,23.791924132708147,716.11495,2.2196232235657827,24.71057893032591,721.3799,2.2216779714038957,24.70560038363421
158,720.996704,2.2220040510439687,23.793512156280723,720.657307,2.219606350090209,24.71018060349114,725.935327,2.221677554914236,24.708520989038117
159,725.542838,2.222003792252851,23.79071731741295,725.202813,2.2195892828433332,24.71018060349114,730.489905,2.221677588974461,24.705998624255734
160,730.089565,2.2220038061411502,23.791924132708147,729.74901,2.219574203974244,24.709350779982323,735.04452,2.2216779699326024,24.70433933769386
161,734.63506,2.222003709224668,23.790336232648468,734.295494,2.2195587303683557,24.71018060349114,739.60065,2.2216778530791763,24.707691230582363
162,739.181233,2.2220038115450675,23.792305247080847,738.841345,2.21954451793926,24.712670269256183,744.154565,2.2216776646271312,24.70682831633003
163,743.727305,2.222003903187881,23.791130167263997,743.386766,2.2195272307377083,24.71057893032591,748.709788,2.2216775842800693,24.70682831633003
164,748.272835,2.222004071784354,23.792305247080847,747.933194,2.2195118343926934,24.71057893032591,753.264401,2.2216776693407816,24.707691230582363
165,752.819072,2.22200384291505,23.79151126680324,752.479018,2.219496952440392,24.71140880202111,757.819627,2.2216776343205837,24.707259769058386
166,757.36568,2.2220039484605687,23.79071731741295,757.030113,2.2194837934009843,24.709350779982323,762.375527,2.2216775759395326,24.7080895105873
167,761.911114,2.222003961796022,23.788335654445618,761.571064,2.21946976762195,24.709350779982323,766.930433,2.221677886316919,24.707691230582363
168,766.45753,2.222003846089345,23.789923398872883,766.119686,2.219457500078837,24.71057893032591,771.484778,2.221677800457691,24.70682831633003
169,771.003385,2.222004101466711,23.789129511213456,770.663071,2.2194457925736057,24.709749091233157,776.040358,2.221677744020772,24.707691230582363
170,775.549507,2.222004240577272,23.789542328940016,775.20936,2.219432739991588,24.71057893032591,780.594629,2.2216774824938126,24.70560038363421
171,780.094724,2.2220040902568443,23.789923398872883,779.755288,2.2194196233645784,24.71057893032591,785.149926,2.221677657790345,24.708520989038117
172,784.641559,2.2220036181792238,23.789542328940016,784.300922,2.219406246252927,24.709749091233157,789.705053,2.2216773028590504,24.707259769058386
173,789.188442,2.2220040422545844,23.789129511213456,788.847502,2.21939268798834,24.712238706204584,794.260042,2.2216775189171662,24.707691230582363
174,793.73312,2.2220038193747245,23.789923398872883,793.393408,2.2193825854709686,24.71018060349114,798.814517,2.2216773501146445,24.708520989038117
175,798.279435,2.222004150953127,23.79071731741295,797.939057,2.219371214969508,24.71057893032591,803.369867,2.2216778268181634,24.7080895105873
176,802.825385,2.2220039635401143,23.790336232648468,802.485143,2.2193625023624812,24.71018060349114,807.924564,2.221677854512763,24.7080895105873
177,807.371077,2.2220036936159757,23.790336232648468,807.034323,2.2193516453186843,24.709350779982323,812.480103,2.2216778171846623,24.70682831633003
178,811.917293,2.2220037540067574,23.79151126680324,811.577548,2.219342159914676,24.71018060349114,817.034838,2.2216778825941956,24.705998624255734
179,816.463097,2.2220040536794223,23.788748456121603,816.125439,2.2193325620675055,24.71018060349114,821.589943,2.2216771677447276,24.705998624255734
180,821.009077,2.2220041069386824,23.791130167263997,820.669117,2.2193223004464886,24.712670269256183,826.14539,2.2216776312234736,24.707691230582363
181,825.555627,2.2220039436373527,23.790336232648468,825.214924,2.219312044599327,24.71018060349114,830.699954,2.221677715947555,24.70891928464101
182,830.101601,2.222004080363125,23.789923398872883,829.761483,2.2193012280805577,24.712670269256183,835.254529,2.2216777870351807,24.706430060074947
183,834.647426,2.2220041773363706,23.789129511213456,834.306635,2.21929237461907,24.708520989038117,839.810576,2.2216774989011667,24.7080895105873
184,839.193434,2.2220040694452563,23.787954614176385,838.853512,2.2192827469590926,24.71018060349114,844.364832,2.2216770865366695,24.708520989038117
185,843.739208,2.222004026691337,23.789129511213456,843.398816,2.219274054660586,24.709350779982323,848.919968,2.221677634285168,24.709749091233157
186,848.285141,2.222003911244765,23.789923398872883,847.948899,2.219264499079089,24.71057893032591,853.475649,2.221677927204891,24.707259769058386
187,852.831849,2.2220037319355415,23.791130167263997,852.490855,2.2192558769744797,24.71057893032591,858.03048,2.2216780396485016,24.707691230582363
188,857.37751,2.222003856594951,23.788335654445618,857.036945,2.2192477006990825,24.71018060349114,862.584969,2.221677001795582,24.705998624255734
189,861.923909,2.2220039647075303,23.789542328940016,861.582957,2.2192397892594493,24.708520989038117,867.139736,2.2216775825038773,24.70433933769386
190,866.469641,2.2220035779763596,23.789129511213456,866.129407,2.2192302587688357,24.71140880202111,871.695324,2.221677850488621,24.707259769058386
191,871.015674,2.2220039021230695,23.791130167263997,870.67507,2.219224217869357,24.709350779982323,876.250123,2.221677374961202,24.707259769058386
192,875.56109,2.2220040778239256,23.789542328940016,875.221492,2.2192152983428284,24.71057893032591,880.804713,2.2216776373809584,24.706430060074947
193,880.107597,2.222003852078086,23.789129511213456,879.767338,2.2192082378773583,24.7080895105873,885.360094,2.2216776023403444,24.706430060074947
194,884.65359,2.222003670183217,23.789542328940016,884.313228,2.219200770232322,24.71018060349114,889.915545,2.2216776586587788,24.708520989038117
195,889.199359,2.222003859207474,23.79071731741295,888.85948,2.2191927538383336,24.7080895105873,894.469635,2.2216775619685745,24.70516896472114
196,893.74513,2.2220040377762738,23.79071731741295,893.405524,2.2191862552539487,24.71184034812756,899.024644,2.2216780792728703,24.70516896472114
197,898.291411,2.222003840614374,23.788335654445618,897.951262,2.2191791437314183,24.71018060349114,903.579705,2.221677870554957,24.70560038363421
198,902.836813,2.222003735443093,23.79071731741295,902.497111,2.2191725191889797,24.70891928464101,908.135403,2.221677707317317,24.706430060074947
199,907.383212,2.222003917379893,23.788748456121603,907.042932,2.2191660627731533,24.708520989038117,912.690338,2.2216779087501455,24.70433933769386
200,911.929077,2.2220038865307616,23.790336232648468,911.589441,2.2191583773188173,24.71057893032591,917.245029,2.2216775774895337,24.705998624255734
201,916.474845,2.222004121939821,23.788748456121603,916.134783,2.219151601290787,24.70891928464101,921.800429,2.2216776421874367,24.706430060074947
202,921.021924,2.22200384392412,23.789923398872883,920.68104,2.219144884347923,24.71057893032591,926.355428,2.221677808405889,24.706430060074947
203,925.567671,2.2220036361800064,23.788748456121603,925.227124,2.2191385009760736,24.709350779982323,930.90994,2.221677740346798,24.705998624255734
204,930.113182,2.222004297999371,23.789923398872883,929.778574,2.2191322694369995,24.70891928464101,935.464792,2.2216778070720995,24.704770739700045
